# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, -5893031.4, 92809.0, -946211.3, 286983.2, 0, 14, 8
-10.000, 0.540, -8096680.1, -110060.2, -911130.3, 153814.4, 0, 14, 7
-10.000, 0.580, -5860838.1, 144624.3, -778212.1, 197054.2, 0, 14, 8
-10.000, 0.620, -6339291.3, 332473.4, -1132046.7, 410661.1, 0, 14, 7
-10.000, 0.660, -583841.6, 336860.6, -501847.4, 246680.7, 0, 14, 7
-10.000, 0.700, -5241458.9, -62882.8, -680930.0, 181801.9, 0, 14, 8
-10.000, 0.740, -3677326.9, 178286.5, -691509.9, 224511.0, 0, 14, 7
-10.000, 0.780, -4199006.5, 262985.3, -646991.8, 176598.3, 0, 14, 8
-10.000, 0.820, -8241232.1, 764325.9, -1386549.8, 520162.1, 0, 14, 7
-10.000, 0.860, -4545978.7, 584287.3, -676166.8, 214702.6, 0, 14, 8
-10.000, 0.900, -2778227.1, 482789.4, -581761.0, 301034.1, 0, 14, 7
-10.000, 0.940, -3679898.6, 182739.8, -643311.4, 194626.6, 0, 14, 8
-10.000, 0.980, 1516243.0, 1709562.4, -758173.0, 664120.3, 0, 14, 7
-10.000, 1.020, -4693650.4, 541492.3, -723172.4, 304330.5, 0, 14, 8
-10.000, 1.060, 1322933.5, 1403398.9, -507857.0, 569156.5, 0, 14, 7
-10.000, 1.100, -2336781.3, 727964.2, -667980.2, 318455.4, 0, 14, 7
-10.000, 1.140, -2828679.6, 374825.5, -565385.0, 238876.7, 0, 14, 8
-10.000, 1.180, -518996.5, 356130.5, -393720.4, 176170.3, 0, 14, 7
-10.000, 1.220, -13474528.9, 233915.5, -3075974.3, 805244.1, 0, 14, 8
-10.000, 1.260, 2113418.7, 979059.4, -423093.1, 355598.9, 0, 14, 7
-10.000, 1.300, -3030935.1, 369611.6, -566409.4, 267008.1, 0, 14, 8
-10.000, 1.340, 742041.2, 1041692.3, -674547.5, 502593.8, 0, 14, 7
-10.000, 1.380, -552282.9, 589971.7, -536904.5, 288592.0, 0, 14, 8
-10.000, 1.420, 1542274.9, 1041155.2, -417879.4, 360417.3, 0, 14, 7
-10.000, 1.460, -1658732.1, 220912.6, -483924.6, 168348.7, 0, 14, 8
-10.000, 1.500, -2993484.5, 327705.1, -571510.7, 181784.1, 0, 14, 7
-10.000, 1.540, -1982805.3, 94189.5, -390637.2, 132495.1, 0, 14, 7
-10.000, 1.580, -299248.4, 494954.2, -425321.3, 231944.5, 0, 14, 8
-10.000, 1.620, -1108902.6, 357994.0, -381296.2, 202833.4, 0, 14, 7
-10.000, 1.660, -696538.6, 528166.5, -400526.5, 241571.6, 0, 14, 8
-10.000, 1.700, -449761.1, 823640.7, -320791.6, 260761.8, 0, 14, 7
-10.000, 1.740, -702992.5, 228397.8, -246637.5, 95399.2, 0, 14, 8
-10.000, 1.780, 37899.5, 625926.2, -267500.2, 241513.5, 0, 14, 7
-10.000, 1.820, -1819105.1, 805005.8, -711692.5, 357564.8, 0, 14, 8
-10.000, 1.860, -2292946.6, 638993.3, -560769.9, 273086.7, 0, 14, 7
-10.000, 1.900, -1848391.6, 135994.3, -523099.3, 150934.2, 0, 14, 8
-10.000, 1.940, -1967605.7, 291824.6, -533354.4, 200657.1, 0, 14, 7
-10.000, 1.980, 1687717.0, 1289105.0, -366726.0, 430014.5, 0, 14, 7
