# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, -5563008.6, 108202.5, -1100996.2, 245046.8, 0, 14, 8
-10.000, 0.540, -7014257.0, 297700.1, -1239083.9, 343093.4, 0, 14, 7
-10.000, 0.580, -982282.0, 744090.9, -481171.3, 308009.6, 0, 14, 8
-10.000, 0.620, -5972344.6, 223777.4, -1016265.9, 327028.5, 0, 14, 7
-10.000, 0.660, -1969003.5, 718462.4, -615005.3, 335677.7, 0, 14, 8
-10.000, 0.700, -3350656.5, 1278883.4, -597190.3, 395108.6, 0, 14, 7
-10.000, 0.740, -2755021.9, 721691.6, -643694.0, 304821.5, 0, 14, 8
-10.000, 0.780, 377944.3, 1146409.0, -638005.9, 491685.2, 0, 14, 7
-10.000, 0.820, -10690173.0, 39987.7, -1399230.3, 324002.1, 0, 14, 7
-10.000, 0.860, -1369112.6, 418807.2, -556492.8, 244208.1, 0, 14, 8
-10.000, 0.900, 6384611.5, 1471835.9, -534196.5, 576373.7, 0, 14, 7
-10.000, 0.940, 6458930.1, 2234216.6, -570450.2, 820347.5, 0, 14, 8
-10.000, 0.980, -3154256.7, 574902.3, -595775.2, 245261.3, 0, 14, 7
-10.000, 1.020, -2182262.9, 669805.5, -892075.5, 427674.2, 0, 14, 8
-10.000, 1.060, -939396.3, 410435.0, -472606.5, 249591.3, 0, 14, 7
-10.000, 1.100, 293362.4, 366044.8, -285353.5, 156203.8, 0, 14, 8
-10.000, 1.140, 1882140.2, 882389.9, -375912.2, 339635.0, 0, 14, 7
-10.000, 1.180, 3008674.9, 1156943.9, -423694.4, 396931.0, 0, 14, 8
-10.000, 1.220, -15305164.9, -171294.5, -2332750.7, 634580.6, 0, 14, 7
-10.000, 1.260, -2397380.5, 423469.2, -725035.1, 239658.2, 0, 14, 7
-10.000, 1.300, -10148650.9, 287624.9, -1665303.9, 522833.4, 0, 14, 8
-10.000, 1.340, -8980423.4, 19078.7, -1574480.4, 473046.9, 0, 14, 7
-10.000, 1.380, -4966953.8, -45403.1, -675256.5, 145762.9, 0, 14, 8
-10.000, 1.420, -1319879.0, 667198.5, -390299.6, 272611.8, 0, 14, 7
-10.000, 1.460, -1820326.8, 568508.0, -543020.8, 213657.3, 0, 14, 8
-10.000, 1.500, -2686307.8, 84403.3, -499850.7, 152780.7, 0, 14, 7
-10.000, 1.540, -2553489.7, 411974.0, -820745.8, 335479.2, 0, 14, 8
-10.000, 1.580, -2926760.8, 202235.4, -550243.1, 179405.0, 0, 14, 7
