# 678 rectangular buckets with a mean size of 42.67 x 6.81 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
1.000, 0.500, 0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 0.540, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.580, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.620, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.660, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.700, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 0.740, 0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 0.780, -11612.8, 146409.7, -63958.4, 12155.5, 0, 42, 7
1.000, 0.820, 586147.5, 885510.7, -46479.3, 160643.6, 0, 42, 7
1.000, 0.860, 68859.3, 528465.2, -58692.2, 48846.9, 0, 42, 7
1.000, 0.900, 24930.7, 38121.1, -12146.0, 7171.4, 0, 42, 7
1.000, 0.940, 46946.0, 366060.7, -42254.8, 37964.9, 0, 42, 6
1.000, 0.980, 1125764.3, 935901.2, -32119.5, 206790.3, 0, 42, 7
1.000, 1.020, 1533172.6, 1021259.6, -9866.1, 252819.9, 0, 42, 7
1.000, 1.060, 890284.5, 335106.8, 102.7, 84403.0, 0, 42, 7
1.000, 1.100, 1178202.2, 618884.8, -15167.5, 142142.4, 0, 42, 7
1.000, 1.140, 2751681.5, 693400.3, -16508.5, 203911.7, 0, 42, 6
1.000, 1.180, 2942523.9, 1874564.6, -64364.3, 342373.3, 0, 42, 7
1.000, 1.220, 4129237.5, 2036034.7, -15587.8, 514740.0, 0, 42, 7
1.000, 1.260, 11868513.8, 11602262.5, -41028.8, 1738616.0, 0, 42, 7
1.000, 1.300, 17242793.1, 13472699.6, -459794.3, 2456858.7, 0, 42, 7
1.000, 1.340, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 1.380, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.420, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.460, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.500, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.540, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.580, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 1.620, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.660, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.700, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.740, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.780, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 1.820, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.860, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.900, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.940, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 1.980, -0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 2.020, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.060, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.100, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.140, -0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.180, 1625.3, 61423.4, -38943.9, 5298.8, 0, 42, 7
1.000, 2.220, 8147.3, 73969.4, -38943.9, 7826.2, 0, 42, 6
1.000, 2.260, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.300, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.340, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.380, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
1.000, 2.420, 0.0, 0.0, -0.0, 0.0, 0, 42, 6
1.000, 2.460, 0.0, 0.0, -0.0, 0.0, 0, 42, 7
