# 51076 rectangular buckets with a mean size of 2.53 x 13.63 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
0.500, 0.500, -129967187.3, -196484.5, -219606.6, 5024.7, 0, 2, 13
0.500, 0.540, -120379507.7, -185364.5, -198976.8, 3456.6, 0, 2, 14
0.500, 0.580, -111847503.3, -171942.9, -190255.8, 4625.2, 0, 2, 14
0.500, 0.620, -104258065.4, -158141.4, -173372.5, 3604.2, 0, 2, 13
0.500, 0.660, -99614607.3, -153871.1, -165678.2, 2971.1, 0, 2, 14
0.500, 0.700, -84046130.1, -71415.7, -158776.6, 27861.2, 0, 2, 13
0.500, 0.740, -85193890.9, -99760.4, -161648.3, 16331.7, 0, 2, 14
0.500, 0.780, -81063989.4, -119668.5, -138591.0, 4507.1, 0, 2, 14
0.500, 0.820, -3261034.4, 495118.9, -135461.2, 170778.2, 0, 2, 13
0.500, 0.860, 35033809.6, 558626.6, -102304.8, 193022.7, 0, 2, 14
0.500, 0.900, -29938965.5, 21982.2, -98126.3, 36497.8, 0, 2, 14
0.500, 0.940, 11404471.5, 515343.3, -114152.2, 178957.6, 0, 2, 13
0.500, 0.980, 103844090.9, 730847.3, -77809.9, 273859.0, 0, 2, 14
0.500, 1.020, -47562575.2, -67339.4, -83614.0, 5274.0, 0, 2, 13
0.500, 1.060, -50507643.9, -71165.3, -91729.8, 4458.5, 0, 2, 14
0.500, 1.100, -30672435.5, -36671.9, -68097.0, 7234.7, 0, 2, 14
0.500, 1.140, -49111569.0, -37925.8, -256069.8, 53589.8, 0, 2, 13
0.500, 1.180, -949985687.9, -78716.8, -4781813.8, 1632225.0, 0, 2, 14
0.500, 1.220, -71709635.2, -97235.9, -124384.3, 5929.9, 0, 2, 14
0.500, 1.260, -28613870.8, 288658.9, -158386.9, 90759.5, 0, 2, 13
0.500, 1.300, -143403692.7, 467885.7, -971936.9, 357484.5, 0, 2, 14
0.500, 1.340, -17938229.9, 6482.1, -54174.5, 16740.9, 0, 2, 13
0.500, 1.380, -41554428.8, -55619.4, -74434.2, 5298.4, 0, 2, 14
0.500, 1.420, -41285157.5, -59033.4, -71240.0, 3865.5, 0, 2, 14
0.500, 1.460, -44692692.8, -66551.1, -75205.9, 2137.5, 0, 2, 13
0.500, 1.500, -39061820.2, -33707.4, -81343.1, 15014.4, 0, 2, 14
0.500, 1.540, -24028541.3, -8418.7, -70325.9, 17902.6, 0, 2, 14
0.500, 1.580, -36801791.5, -43051.9, -71095.6, 8651.4, 0, 2, 13
0.500, 1.620, -26598339.9, -36478.5, -51435.1, 3548.3, 0, 2, 14
0.500, 1.660, -21280546.1, -19714.6, -44737.2, 6994.6, 0, 2, 13
0.500, 1.700, -31332661.0, -31304.4, -61326.9, 7337.1, 0, 2, 14
0.500, 1.740, -25318344.0, -30130.4, -51841.7, 5014.0, 0, 2, 14
0.500, 1.780, -30602630.8, -34674.1, -56827.8, 5909.8, 0, 2, 13
0.500, 1.820, -24862446.1, -29098.3, -51799.4, 7072.4, 0, 2, 14
0.500, 1.860, -19781587.8, -13198.3, -46692.4, 9660.2, 0, 2, 14
0.500, 1.900, 11636647.0, 64868.1, -40840.6, 27179.4, 0, 2, 13
0.500, 1.940, -24173539.2, 12647.3, -68507.3, 19784.9, 0, 2, 14
0.500, 1.980, -19038210.6, -15076.1, -52351.1, 10945.8, 0, 2, 13
0.500, 2.020, 482933.4, 31871.8, -23396.2, 15350.8, 0, 2, 14
0.500, 2.060, -30989063.9, -1869.9, -108429.6, 31774.5, 0, 2, 14
0.500, 2.100, -23164701.9, -33785.7, -48583.3, 3799.3, 0, 2, 13
0.500, 2.140, -27859566.7, -33204.8, -68225.9, 11807.5, 0, 2, 14
0.500, 2.180, -28768798.5, -36450.7, -64985.3, 9436.6, 0, 2, 14
0.500, 2.220, -24144254.2, -36749.4, -41378.6, 1251.3, 0, 2, 13
0.500, 2.260, -24246044.7, -35833.3, -42754.5, 1683.6, 0, 2, 14
0.500, 2.300, -16197121.5, 2158.5, -43905.8, 14640.6, 0, 2, 13
0.500, 2.340, -10013072.4, 13848.5, -34502.4, 16469.1, 0, 2, 14
0.500, 2.380, -20447181.5, -27891.7, -36259.2, 2454.5, 0, 2, 14
0.500, 2.420, -23315705.5, -33901.2, -40912.5, 2349.3, 0, 2, 13
0.500, 2.460, -23918201.4, -33082.8, -42135.4, 2455.9, 0, 2, 14
0.500, 2.500, -15477174.9, -9180.1, -42323.1, 12658.4, 0, 2, 14
0.500, 2.540, -22562330.2, -33890.4, -38624.9, 1467.7, 0, 2, 13
0.500, 2.580, -23414323.6, -34894.7, -40868.3, 1563.5, 0, 2, 14
0.500, 2.620, -26080014.3, -36181.1, -46925.8, 3260.7, 0, 2, 13
0.500, 2.660, -25560751.2, -34821.0, -48755.7, 4374.0, 0, 2, 14
0.500, 2.700, -22561050.0, -32846.8, -39055.0, 1818.9, 0, 2, 14
0.500, 2.740, -21792701.0, -32949.2, -36703.5, 846.1, 0, 2, 13
0.500, 2.780, -21709630.1, -32685.6, -37113.1, 1217.6, 0, 2, 14
0.500, 2.820, -21761654.5, -32488.6, -37047.1, 1533.2, 0, 2, 14
0.500, 2.860, -18093372.3, -24636.7, -34567.3, 3220.6, 0, 2, 13
0.500, 2.900, -5491788.0, 3523.8, -28748.4, 7178.7, 0, 2, 14
0.500, 2.940, -15127340.0, -14469.8, -32401.6, 7102.6, 0, 2, 13
0.500, 2.980, -21356308.8, -27218.3, -48793.4, 4378.9, 0, 2, 14
0.500, 3.020, -21172300.4, 322248.7, -165679.7, 129936.9, 0, 2, 14
0.500, 3.060, -15330297.4, 47204.8, -114230.7, 34060.2, 0, 2, 13
0.500, 3.100, -28386157.5, -40233.8, -54915.7, 4168.5, 0, 2, 14
0.500, 3.140, -35274046.0, -47569.4, -66334.8, 5006.2, 0, 2, 14
0.500, 3.180, -40034698.2, -42641.7, -82650.8, 13108.0, 0, 2, 13
0.500, 3.220, -87113781.6, -99557.6, -180522.4, 21125.9, 0, 2, 14
0.500, 3.260, -107970363.0, 64106.0, -422912.0, 105996.9, 0, 2, 13
0.500, 3.300, 513454149.7, 15807940.4, -6793382.0, 5873489.8, 0, 2, 14
0.500, 3.340, -208874870.7, -51996.0, -1447479.3, 256490.3, 0, 2, 14
0.500, 3.380, -91318886.5, -122247.0, -174436.4, 14179.9, 0, 2, 13
0.500, 3.420, -66107299.3, -97101.6, -117510.9, 5986.8, 0, 2, 14
0.500, 3.460, -52399826.0, -60811.5, -97925.8, 11304.1, 0, 2, 14
0.500, 3.500, -44039767.3, -65833.7, -76284.1, 2870.7, 0, 2, 13
0.500, 3.540, -38288895.7, -49432.9, -69588.9, 6064.0, 0, 2, 14
0.500, 3.580, -110966875.5, -7226.3, -453948.9, 162379.0, 0, 2, 13
0.500, 3.620, -18706459.6, 75756.6, -269653.1, 77006.7, 0, 2, 14
