# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, -5091695.8, 221989.1, -745070.3, 237408.4, 0, 14, 8
-10.000, 0.540, -5344641.7, 178002.6, -758328.0, 200965.8, 0, 14, 7
-10.000, 0.580, -3216792.3, 551280.8, -799602.2, 380189.5, 0, 14, 8
-10.000, 0.620, -3938925.1, 705994.7, -801211.2, 323386.5, 0, 14, 7
-10.000, 0.660, -4335803.3, 365631.0, -644396.6, 184265.8, 0, 14, 7
-10.000, 0.700, 735187.5, 1099503.7, -777207.3, 462213.0, 0, 14, 8
-10.000, 0.740, -517242.0, 744399.6, -537233.4, 313022.2, 0, 14, 7
-10.000, 0.780, -2703880.6, 501355.4, -554064.9, 248582.4, 0, 14, 8
-10.000, 0.820, -7386773.1, 261118.9, -911998.4, 242987.6, 0, 14, 7
-10.000, 0.860, -3171720.0, 1106958.2, -618685.8, 337526.4, 0, 14, 8
-10.000, 0.900, -2222851.7, 720671.2, -555044.5, 222451.0, 0, 14, 7
-10.000, 0.940, -1328417.8, 898397.5, -630988.2, 381143.5, 0, 14, 8
-10.000, 0.980, 677347.5, 1307147.5, -565244.4, 411422.2, 0, 14, 7
-10.000, 1.020, -1357406.2, 1405894.0, -847951.1, 538932.2, 0, 14, 8
-10.000, 1.060, -2829294.5, 536490.6, -549830.3, 268220.9, 0, 14, 7
-10.000, 1.100, -3201672.2, 330631.4, -658192.0, 250819.6, 0, 14, 7
-10.000, 1.140, -398526.3, 1237415.7, -596025.5, 470696.6, 0, 14, 8
-10.000, 1.180, -3503910.4, 491901.0, -579653.9, 231627.1, 0, 14, 7
-10.000, 1.220, -11896781.1, -185012.5, -1854733.1, 524546.2, 0, 14, 8
-10.000, 1.260, -4352431.2, 387986.7, -764609.8, 172544.5, 0, 14, 7
-10.000, 1.300, -5465182.5, 582458.0, -902682.8, 305388.2, 0, 14, 8
-10.000, 1.340, -2461871.9, 300194.0, -477999.8, 146756.9, 0, 14, 7
-10.000, 1.380, -875381.1, 1315232.1, -525782.7, 437997.1, 0, 14, 8
-10.000, 1.420, 1974233.9, 1123051.4, -398989.5, 472224.6, 0, 14, 7
-10.000, 1.460, -2197758.3, 1129728.7, -750560.4, 514133.7, 0, 14, 8
-10.000, 1.500, 4591268.5, 1214081.0, -223048.6, 382294.4, 0, 14, 7
-10.000, 1.540, 1902651.4, 1208277.9, -401328.1, 456752.7, 0, 14, 7
-10.000, 1.580, 2288781.8, 1198610.6, -509133.1, 395791.2, 0, 14, 8
-10.000, 1.620, 1188764.2, 803876.4, -397283.1, 259757.2, 0, 14, 7
-10.000, 1.660, 1352322.4, 746836.7, -356439.9, 270288.0, 0, 14, 8
-10.000, 1.700, 835940.5, 1588759.5, -582387.2, 599876.0, 0, 14, 7
-10.000, 1.740, -2014176.8, 665786.5, -435477.8, 291341.5, 0, 14, 8
-10.000, 1.780, -1473897.8, 458199.3, -657499.9, 273211.4, 0, 14, 7
-10.000, 1.820, -311713.6, 662667.4, -575427.7, 347373.4, 0, 14, 8
-10.000, 1.860, 956324.4, 532406.3, -396288.1, 287906.3, 0, 14, 7
-10.000, 1.900, -683543.5, 660138.9, -426125.3, 271970.5, 0, 14, 8
-10.000, 1.940, 3857418.4, 1745456.9, -478754.1, 476168.2, 0, 14, 7
-10.000, 1.980, -3063906.9, 370760.8, -480828.4, 165028.4, 0, 14, 7
-10.000, 2.020, 767031.2, 1564922.9, -464133.9, 433324.4, 0, 14, 8
-10.000, 2.060, 166785.1, 1588945.3, -680729.2, 535286.6, 0, 14, 7
-10.000, 2.100, -932044.2, 513201.0, -386824.8, 238463.1, 0, 14, 8
