# 18306 rectangular buckets with a mean size of 13.65 x 7.46 data points
centerF1, centerF2, bucket, max, min, std, peaks_nb, bucket_size_F1, bucket_size_F2
-10.000, 0.500, -4182845.0, 276214.1, -819507.2, 272878.1, 0, 14, 8
-10.000, 0.540, -4596591.3, 66492.7, -834442.4, 265899.8, 0, 14, 7
-10.000, 0.580, -6696279.9, -250236.3, -714144.0, 96128.4, 0, 14, 8
-10.000, 0.620, -8185304.5, 150184.5, -1236771.6, 387568.4, 0, 14, 7
-10.000, 0.660, -4912670.1, 14617.7, -670122.6, 172430.0, 0, 14, 8
-10.000, 0.700, -6852698.2, -339101.8, -753231.8, 99537.6, 0, 14, 7
-10.000, 0.740, -2842293.2, 210253.5, -611772.3, 227195.9, 0, 14, 8
-10.000, 0.780, -1929954.8, 937131.3, -540626.4, 357498.8, 0, 14, 7
-10.000, 0.820, -6001831.7, 730166.6, -1199390.9, 439753.6, 0, 14, 8
-10.000, 0.860, -3365018.9, 407744.4, -644584.1, 277820.0, 0, 14, 7
-10.000, 0.900, -1750952.3, 938954.9, -600667.0, 318845.2, 0, 14, 7
-10.000, 0.940, 6103474.9, 1897840.3, -471170.3, 605725.9, 0, 14, 8
-10.000, 0.980, -930764.0, 1730020.1, -759186.8, 614510.1, 0, 14, 7
-10.000, 1.020, -319284.0, 1061032.8, -521283.2, 389442.7, 0, 14, 8
-10.000, 1.060, -2691776.2, 739894.9, -483700.5, 199779.5, 0, 14, 7
-10.000, 1.100, -3332108.6, 70676.5, -585367.0, 178198.4, 0, 14, 8
-10.000, 1.140, -4459119.8, 123014.2, -590782.9, 148692.8, 0, 14, 7
-10.000, 1.180, 1649761.8, 789922.8, -536468.2, 369421.4, 0, 14, 8
-10.000, 1.220, -16951730.5, 213866.2, -2600778.2, 821116.9, 0, 14, 7
-10.000, 1.260, -2283417.7, 163460.3, -963140.0, 233155.1, 0, 14, 7
-10.000, 1.300, -18500731.4, -655332.6, -2204282.0, 449379.8, 0, 14, 8
-10.000, 1.340, 2080180.8, 983349.5, -698017.3, 445752.8, 0, 14, 7
-10.000, 1.380, 1491692.5, 1336995.9, -663747.0, 499613.4, 0, 14, 8
-10.000, 1.420, -1057126.2, 938640.0, -568889.4, 351792.4, 0, 14, 7
-10.000, 1.460, -1462672.7, 474959.0, -492194.4, 279873.0, 0, 14, 8
-10.000, 1.500, -2252791.1, 437522.2, -449865.1, 215095.9, 0, 14, 7
-10.000, 1.540, 896342.3, 1260142.2, -487387.9, 435443.1, 0, 14, 8
-10.000, 1.580, 276584.8, 692337.7, -473135.3, 307308.3, 0, 14, 7
-10.000, 1.620, -1754647.9, 580180.4, -517158.3, 303477.1, 0, 14, 8
-10.000, 1.660, -1031671.5, 874645.0, -591294.0, 338959.2, 0, 14, 7
-10.000, 1.700, 768739.1, 912272.3, -421200.2, 350995.3, 0, 14, 7
-10.000, 1.740, -1480125.6, 997249.1, -617459.0, 309390.8, 0, 14, 8
-10.000, 1.780, -526907.0, 1403976.3, -597155.0, 429245.8, 0, 14, 7
